sds,sds_lo,sds_hi,abs_diff,abs_lo,abs_hi,rb,p,med_n,med_s,n_n,n_s,site,season,var,verdict,verdict_strength
0.6886381450236877,0.6230231020098771,0.7167835252711613,36.614088927119155,28.348605806998158,40.11647586614871,-0.7904718898171146,9.009883680708425e-21,53.16883648067405,16.554747553554897,103,86,Oran,spring (1-4月),LE_corr,shallow,strong
0.33586194985532214,0.22667278135974603,0.4317154382206996,0.18568591247729505,0.11963443504556492,0.24972779418122168,-0.38135019191691133,6.523975390736739e-06,0.5528637958461272,0.36717788336883217,103,86,Oran,spring (1-4月),EF_corr,shallow,strong
0.6194802509494405,0.5419510270255697,0.6765884990878964,1.4127994687374719,1.0622948232488283,1.757042609380703,-0.735380447053511,3.4515314249933708e-18,2.2806206760783065,0.8678212073408347,103,86,Oran,spring (1-4月),ET,shallow,strong
,,,,,,,,,,0,0,Tarazona,spring (1-4月),LE_corr,insufficient_data,weak
,,,,,,,,,,0,0,Tarazona,spring (1-4月),EF_corr,insufficient_data,weak
,,,,,,,,,,0,0,Tarazona,spring (1-4月),ET,insufficient_data,weak
0.4147171690746342,-0.20880649173055238,0.6747128219048842,29.394955618915446,-14.80010478239069,53.11914772916474,-0.6000000000000001,0.05929038281979459,70.87952419357254,41.48456857465709,13,5,Oran,"shoulder (5,6,10月)",LE_corr,insufficient_data,weak
0.36101867734194404,0.2367720679492703,0.6110015621760887,0.22880370852026616,0.14522943276166522,0.40654598108209034,-0.9076923076923078,0.0016339869281045752,0.6337724967718261,0.40496878825155996,13,5,Oran,"shoulder (5,6,10月)",EF_corr,insufficient_data,weak
0.38026074864283876,-0.08037835841956974,0.8374296723641484,1.2792695366295561,-0.22369240988443995,2.8172728127965314,-0.5384615384615385,0.09453781512605043,3.3641903383278575,2.0849208016983014,13,5,Oran,"shoulder (5,6,10月)",ET,insufficient_data,weak
0.40069034060701586,0.17048967295950593,0.6048992855166522,57.347772552290024,20.984025478809784,96.31726840742189,-0.4231499051233396,0.00011474949189252722,143.12242332922835,85.77465077693833,51,62,Tarazona,"shoulder (5,6,10月)",LE_corr,shallow,strong
0.30493723626766484,0.17872229901982276,0.42047098944604994,0.257537049135092,0.13848616465718966,0.3867955817721085,-0.4845034788108793,1.0019768915645819e-05,0.8445575630161272,0.5870205138810352,51,62,Tarazona,"shoulder (5,6,10月)",EF_corr,shallow,strong
0.40411159176198747,0.2254489578361286,0.5440211491397827,2.831497240999999,1.3397665493612498,4.494583684,-0.4674256799493992,2.0354792226053553e-05,7.00672116,4.1752239190000004,51,62,Tarazona,"shoulder (5,6,10月)",ET,shallow,strong
,,,,,,,,,,0,0,Oran,summer (7-9月),LE_corr,insufficient_data,weak
,,,,,,,,,,0,0,Oran,summer (7-9月),EF_corr,insufficient_data,weak
,,,,,,,,,,0,0,Oran,summer (7-9月),ET,insufficient_data,weak
0.27627335919350565,0.10980607477354924,0.39104644632570185,38.70462329407097,14.85363967123989,59.17033666327966,-0.38169014084507036,5.357384056715181e-05,140.09538743459416,101.39076414052319,71,80,Tarazona,summer (7-9月),LE_corr,shallow,strong
0.22780453462849118,0.1473116837885307,0.3081444098421465,0.19282495558827772,0.1213093243880381,0.27063988041952963,-0.5767605633802817,1.0288846630450544e-09,0.8464491538886223,0.6536241983003446,71,80,Tarazona,summer (7-9月),EF_corr,shallow,strong
0.23371755095768756,-0.03561574069730985,0.3860035972360055,1.3511277804999997,-0.1929353371624993,2.6919889369999996,-0.13239436619718314,0.16153593973671454,5.781028318,4.4299005375,71,80,Tarazona,summer (7-9月),ET,uncertain,weak
